leader,vote,name,Sc,Sc_p,R-Sc,R-Sc_p,slots,Sc_p_lb,Sc_p_ub,Sc_p_flag,Sc_lb,Sc_ub,Sc_flag,dontfront_violations
8BwV97uHgQEFYGVhMxcrUuNZ7rzhpiiHJNAThvCX4zv3,,"",0.818284061696658,0.3884693658954585,2546.4999999999995,1208.9166666666667,3112,0.355094773453699,0.42292367214017035,true,0.00806377028826149,0.03018490696041576,true,3027
7b24ANrGm5tPzZsedBbuXUuVZN1tEwf9k4zFcNXm6nYs,GZw27T4rCYcmzVG8tYqkQ29Hw2Gg4oQ3Z7PtqoQ5TmoV,"",0.6599358974358975,0.3772435897435898,171.58333333333337,98.08333333333334,260,0.27010947723984,0.4978846430620625,true,-0.01914144077578919,0.05739011802446643,true,183
4dALbSiXCWQFF4KvA2hoKrpVLMUscVFFyfSxW8m2K1Ex,9jmvcGEGNq83FqzJrRVHoRX6sDc3MFbg8PeKyCGwzKgm,"",0.5965909090909092,0.37462121212121213,262.50000000000006,164.83333333333334,440,0.2904226897274125,0.4671593025260984,true,-0.010290799987584406,0.048539477236261654,true,270
3zr2d3xyqANDBpbaq3QNvn9W6fofxGGK5AKbF9dEvNvk,7cPztttFu6zHWvHqnGPRhxvGrmoMdzm75Lsn2yTbHbi2,"",0.6084070796460177,0.35693215339233036,275,161.33333333333331,452,0.27520227030359357,0.44793373702300654,true,-0.009897706971101643,0.04814638421977889,true,251
HBNvkUX6QQSrF2o2d79np8HVAmd56xAJzomYcoHJs9Qq,2sWtnefPHSWVX1g3rAVBCwjLxRAKWqrUdMSTSHEccQmt,"",0.43750000000000006,0.3541666666666667,5.250000000000001,4.25,12,0.06917466228139013,0.8018487368094727,true,-0.1589931710440925,0.19724184829276975,true,4
7HW9bm5W1eA6RoDAodeoJZwzYjwWj95BeEd5MQKrpMCq,AJTwC1Y3e7DRXPij3ZehavvugoL5hUfW6vhQzeYYu2JC,"",0.5508966244725738,0.34704641350210974,174.08333333333331,109.66666666666667,316,0.2520218878405371,0.4560543684581511,true,-0.015585588046745511,0.05383426529542276,true,174
GqT4x9wuaqxES9KpnqjyX1t9ddVj25YMeG7mnkds8HWF,Ac5y3nnaU97CqdsqNBygqxbCd7Hk8NU5PVk61R5qMHqT,"",0.5737994350282487,0.3365112994350283,270.83333333333337,158.83333333333334,472,0.2581438980732685,0.4250388067456125,true,-0.009276177865273023,0.04752485511395027,true,287
BiF9ZbQht1TgHwWEcrbMQFt37aLEPpNvXWAyd7SuqhpR,HymVLhdKah8BrZj4FAXJJYH8nhWGqjqvFvPFJM5L5VNa,"SHP",0.4773550724637681,0.33423913043478265,131.75,92.25000000000001,276,0.23495158283105969,0.4507630716341575,true,-0.018015729537479642,0.05626440678615689,true,163
MRGSoA53J7i4WidVHTxawPyKdr26LdVYCywnrUZ6auT,CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc,"MARGUS.ONE 💎 0% fee +MEV!",0.4329212454212454,0.31181318681318676,157.58333333333331,113.49999999999999,364,0.22646305498762737,0.41218971033057356,true,-0.013216147646182213,0.05146482489485946,true,207
7XCbYkANgiqgCoevBmJMAwYqD4iuKzNEJjd2XtF5QExp,AUTnPgB8m6qsctP9RRAcmnVrLSpZbBYB8nQAzYUN5j8q,"Dima_FantomasUA",0.4350467289719628,0.310708722741433,931.0000000000003,664.9166666666666,2140,0.27323110103388787,0.35084533703991744,true,0.005786349750487597,0.03246232749818965,true,1177
