leader,vote,name,Sc,Sc_p,R-Sc,R-Sc_p,slots,Sc_p_lb,Sc_p_ub,Sc_p_flag,Sc_lb,Sc_ub,Sc_flag,dontfront_violations
8BwV97uHgQEFYGVhMxcrUuNZ7rzhpiiHJNAThvCX4zv3,,"",0.8357974910394266,0.383736559139785,1243.6666666666667,571.0000000000001,1488,0.33609370259475263,0.4337209797312705,true,0.0032284875742457884,0.0339213140130558,true,1506
FimxwskHym6UxYbPyTNovPKqnaHnUuSDDXangz7ysUmQ,,"",0.5074046184738956,0.329066265060241,336.9166666666667,218.50000000000003,664,0.26262415382993876,0.4031279719894726,true,-0.004398448396051486,0.041548249983353075,true,396
BiF9ZbQht1TgHwWEcrbMQFt37aLEPpNvXWAyd7SuqhpR,HymVLhdKah8BrZj4FAXJJYH8nhWGqjqvFvPFJM5L5VNa,"SHP",0.4329861111111112,0.3145833333333333,103.91666666666669,75.5,240,0.21194694426821914,0.43922045667099585,true,-0.019637359960517072,0.056787161547818654,true,138
4o2TxN5RNxjiLvEbK56ZyaZ1bg3ZTgaTLpPRqi8vEkRS,8guXF5HQVU4g71ZCnn6aEJxQyb59NaEc4XCGjF5arsiH,"BLOCKPRIME 💠",0.4299242424242425,0.3093434343434344,56.75000000000001,40.83333333333334,132,0.1794113463382864,0.4785031539502924,true,-0.03295050109608824,0.07010030268338983,true,72
Hu3b6mGQJ5jRYRJxdH4kZX6VAyw3p4LAmxDBxhvXVKje,FyrSH4VeQidMVPQ9AE2szAbP5xBZBprRG3z1QMMLNi5X,"Gotham",0.3885946327683616,0.28654661016949157,183.41666666666669,135.25000000000003,472,0.21320143970710626,0.37315697295599004,true,-0.008673270085198585,0.045823071672500174,true,251
VALETVDFDkc7Hgv2V7QRfTmfH4zAjk23zcQbaZ5LcEw,VALETGg6o24d4nTZA2iUEEDiMWkabsZZatFoAwZAbpw,"Valet",0.3824200913242009,0.283675799086758,223.33333333333334,165.66666666666666,584,0.21728251368451007,0.36099959712172797,true,-0.00592148030847298,0.04307128189577457,true,322
JACKALkk85FyW2RCbPbMUgZXe8BECS3fjEX64ESFNSp3,JACKAL92c9YbzNqkJR1XUNAC2uZQNNNVFnRbsZMBEwH8,"Jackal",0.39289529914529914,0.28258547008547014,245.16666666666666,176.33333333333337,624,0.21825214596542764,0.35721687167277105,true,-0.005123337309833397,0.04227313889713498,true,338
8f8ictfTPjKtJcn8Av8jfqh7uvU3UbDtsreADQTbB1No,,"",0.38665902140672787,0.27303134556574926,337.1666666666667,238.08333333333334,872,0.2185804268395484,0.3352275364638903,true,-0.001472132471573847,0.03862193405887543,true,412
5B1eeUcVsdX1GQPxeipE6MXaQZwGAWNEWCTPWXqVL2j9,33jhUy4KkZ3AxRfqLshb4u6u6pA1MC6yoNHrKWNeRxbg,"dikijkoala",0.38165266106442575,0.26838235294117646,181.66666666666666,127.75,476,0.19740216454733356,0.353639332344522,true,-0.008558540435083948,0.04570834202238554,true,232
7XCbYkANgiqgCoevBmJMAwYqD4iuKzNEJjd2XtF5QExp,AUTnPgB8m6qsctP9RRAcmnVrLSpZbBYB8nQAzYUN5j8q,"Dima_FantomasUA",0.3460064292779425,0.267124134520277,466.4166666666665,360.08333333333337,1348,0.22301352476578382,0.3164066002106277,true,0.002451249117528812,0.03469855246977277,true,621
ALxZnHDetfXHaTZWB7Xwn2WHpbvNPYz5b4zLRsfFvpUb,63mj5NgxsJigb6GEc4KVMsydnM4fQ8qg5ujU57puT154,"Dancing Dolphin Validator",0.3502358490566038,0.2670335429769392,222.75000000000003,169.83333333333334,636,0.2047786523714005,0.34011978300369083,true,-0.004898704390820165,0.04204850597812175,true,313
7pnQN2YLCzVr94XHEwC6dCJpBLANhad4sbXwsZMbPnF3,,"",0.33850129198966405,0.26695736434108525,174.66666666666666,137.75,516,0.19862510752881907,0.3485724451287489,true,-0.007485644739061419,0.044635446326363,true,214
6k8XrwBQhS3LcMGDte72JbBCXH6VGWqpPDJm5Z8w9Aty,,"",0.3893008474576271,0.2635063559322034,367.5,248.75,944,0.21177081556636673,0.322706389229468,true,-0.0006924656097134115,0.037842267197015,true,499
4J9HoqBamEDyEKGDZgeRjCpiGCirHzqP1CadWmznrghF,Cqg1VwU4pdC8zAYMZZUViJuy1v1G8vxdYeUW3UNCqpfV,"SolGeo 🪐",0.343013468013468,0.2608726150392817,407.5,309.9166666666667,1188,0.21453635775848917,0.31322581241014696,true,0.0013997668304044468,0.03575003475689714,true,543
rmnh7A7y6LuSPph6x9JxNN1dzLZ1NoXSMGBemMJMwZZ,yrfQfUfsZechz1zqQyTRRz43czTZQidcrm4SNVWiDPi,"romanh",0.3993055555555556,0.25520833333333337,38.333333333333336,24.500000000000004,96,0.12423231009916372,0.45286510425939086,true,-0.04184398847006619,0.07899379005736777,true,60
MRGSoA53J7i4WidVHTxawPyKdr26LdVYCywnrUZ6auT,CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc,"MARGUS.ONE 💎 0% fee +MEV!",0.3135040160642571,0.25502008032128515,104.08333333333336,84.66666666666667,332,0.17406008760210828,0.3573445025276411,true,-0.013914321203559125,0.051064122790860714,true,138
8ypigreunb34pCiQRqZzQoie2ej5prAjovUq7sHB6gMZ,DsT3eKbWAaX9wVZQYBsbkDwpFA9NTDtXfsYc9wXUEWpn,"vilar",0.34029869477911645,0.2545180722891566,451.91666666666663,338,1328,0.21096022785216087,0.30360891655224154,true,0.002330289795045834,0.03481951179225575,true,633
3fHDpgV7GG2fRirqYNFvAUfH5BnbQnRYDqeJBpVFKm8s,FQ5Hc8CgnBBFT87QYt72SVVYGEk677fZHDKH1wX2TeQ5,"NeverBackDown",0.3176733780760626,0.2441974272930649,378.66666666666663,291.08333333333337,1192,0.19919077660532067,0.29561927208849514,true,0.0014286083855372007,0.03572119320176438,true,505
DARHT2kULrSdWzL4Fc4hs28s4pfMa4aB92631AHUJkV1,32w46YEh1WSMZPBLA57DzAYL4N1f66XtbJQCkhWnATFQ,"Tyraen",0.29300682261208577,0.23745126705653025,200.41666666666666,162.41666666666669,684,0.18026636820509667,0.30600482313471994,true,-0.00406008898071835,0.041209890568019936,true,264
